latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.21904,-80.50766,295.98,0.52,0.5,2026-08-29,0801,N20,nominal,2.0NRT,284.62,2.35,N
20.97292,-98.7439,296.55,0.45,0.39,2026-08-29,0805,N20,nominal,2.0NRT,278.93,1.04,N
41.21976,-80.513,303.54,0.52,0.5,2026-08-29,0801,N20,nominal,2.0NRT,284.04,1.22,N
20.51756,-97.47938,306.86,0.4,0.37,2026-08-29,0805,N20,nominal,2.0NRT,288.83,0.59,N
41.47749,-81.66454,307.97,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,288.03,1.64,N
20.87646,-100.41532,325.77,0.54,0.42,2026-08-29,0805,N20,nominal,2.0NRT,279.04,1.6,N
41.47335,-81.6662,319.14,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,289.15,1.64,N
20.87259,-100.41595,300.24,0.54,0.42,2026-08-29,0805,N20,nominal,2.0NRT,279.15,1.6,N
41.46213,-81.67649,325.45,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,289.21,2.07,N
20.6713,-101.32954,299.54,0.41,0.45,2026-08-29,0805,N20,nominal,2.0NRT,284.42,0.51,N
41.458,-81.6782,305.37,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,286.43,2.07,N
20.58598,-101.17757,301.53,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,287.08,3.2,N
41.45267,-81.6748,321.16,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,288.36,2.11,N
20.58147,-101.17435,338.57,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,286.19,3.2,N
41.45386,-81.67989,302.26,0.45,0.47,2026-08-29,0801,N20,nominal,2.0NRT,284.96,2.11,N
20.581,-101.17056,311.2,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,285.46,1.89,N
41.20664,-80.81612,296.67,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,284.59,0.92,N
20.58053,-101.16677,301.36,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,282.67,1.89,N
43.18785,-91.40053,307.19,0.4,0.37,2026-08-29,0801,N20,nominal,2.0NRT,285.76,0.78,N
20.57742,-101.17495,338.29,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,284.92,4.81,N
41.13079,-80.68979,314.82,0.51,0.5,2026-08-29,0801,N20,nominal,2.0NRT,285.21,2.16,N
20.57695,-101.17115,302.82,0.4,0.44,2026-08-29,0805,N20,nominal,2.0NRT,284.2,3.05,N
42.78861,-89.04053,298.87,0.38,0.36,2026-08-29,0801,N20,nominal,2.0NRT,287.82,0.38,N
39.96474,-76.59824,296.92,0.44,0.62,2026-08-29,0801,N20,nominal,2.0NRT,285.92,0.3,N
20.38751,-99.69247,304.08,0.49,0.4,2026-08-29,0805,N20,nominal,2.0NRT,285.45,0.87,N
39.9619,-76.59604,297.48,0.44,0.63,2026-08-29,0801,N20,nominal,2.0NRT,286.13,0.6,N
20.38381,-99.69302,306.34,0.49,0.4,2026-08-29,0805,N20,nominal,2.0NRT,285.9,0.87,N
42.47972,-87.88409,304.83,0.39,0.36,2026-08-29,0801,N20,nominal,2.0NRT,285.37,0.65,N
20.05344,-99.29086,301.74,0.47,0.39,2026-08-29,0805,N20,nominal,2.0NRT,283.52,0.85,N
41.63275,-83.50017,301.22,0.55,0.43,2026-08-29,0801,N20,nominal,2.0NRT,290.33,1.18,N
20.04983,-99.2914,301.66,0.47,0.39,2026-08-29,0805,N20,nominal,2.0NRT,283.58,0.85,N
39.9385,-76.81553,303.21,0.43,0.62,2026-08-29,0801,N20,nominal,2.0NRT,287.61,0.79,N
20.04261,-99.29245,328.82,0.47,0.39,2026-08-29,0805,N20,nominal,2.0NRT,285.63,4.25,N
39.59264,-75.63332,305.06,0.51,0.66,2026-08-29,0801,N20,nominal,2.0NRT,289.62,1.02,N
20.03234,-99.27132,302.84,0.46,0.39,2026-08-29,0805,N20,nominal,2.0NRT,282.78,0.82,N
39.58696,-75.63622,304.49,0.51,0.66,2026-08-29,0801,N20,nominal,2.0NRT,290.18,1.02,N
18.03773,-88.25773,304.28,0.6,0.53,2026-08-29,0805,N20,nominal,2.0NRT,292,0.72,N
40.83002,-80.32047,298.9,0.54,0.51,2026-08-29,0801,N20,nominal,2.0NRT,284.35,1.03,N
18.86658,-92.6246,312.18,0.48,0.4,2026-08-29,0805,N20,nominal,2.0NRT,281.05,1.26,N
19.74664,-98.60027,310.13,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,266.11,0.88,N
40.83157,-80.32127,305.23,0.55,0.51,2026-08-29,0801,N20,nominal,2.0NRT,283.97,1.36,N
18.64458,-92.16826,333,0.5,0.41,2026-08-29,0805,N20,nominal,2.0NRT,294.49,4.26,N
41.4677,-83.36726,316.32,0.57,0.43,2026-08-29,0801,N20,nominal,2.0NRT,287.83,2.68,N
18.64544,-92.17297,313.82,0.5,0.41,2026-08-29,0805,N20,nominal,2.0NRT,294.29,2.4,N
41.56933,-84.04772,321.2,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,288.97,2.32,N
18.64355,-92.17043,337.21,0.5,0.41,2026-08-29,0807,N20,nominal,2.0NRT,294.13,4.19,N
41.57063,-84.05385,311.97,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,288.33,2.73,N
17.88881,-88.85746,304.27,0.55,0.51,2026-08-29,0807,N20,nominal,2.0NRT,291.96,0.79,N
41.56802,-84.0416,298.33,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,286.5,2.32,N
19.18044,-96.23792,300.02,0.38,0.36,2026-08-29,0807,N20,nominal,2.0NRT,283.35,0.77,N
41.57185,-84.05398,305.1,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,287.24,2.45,N
19.17987,-96.2343,311.98,0.38,0.36,2026-08-29,0807,N20,nominal,2.0NRT,279.95,0.77,N
41.56558,-84.0431,323.64,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,287.19,2.97,N
18.48785,-93.34406,316.54,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,294.61,1.11,N
41.56813,-84.05537,304.71,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,286.34,2.45,N
18.39471,-92.83044,306.59,0.47,0.4,2026-08-29,0807,N20,nominal,2.0NRT,293.53,1,N
41.22695,-83.209,323.01,0.39,0.44,2026-08-29,0801,N20,nominal,2.0NRT,288.01,1.92,N
18.39393,-92.82603,310.7,0.47,0.4,2026-08-29,0807,N20,nominal,2.0NRT,294.13,1,N
41.22308,-83.21053,302.34,0.39,0.44,2026-08-29,0801,N20,nominal,2.0NRT,286.14,0.91,N
18.44227,-93.16563,337.68,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,296.01,7.14,N
40.39471,-79.85635,309.14,0.59,0.53,2026-08-29,0801,N20,nominal,2.0NRT,287.44,2.21,N
18.44153,-93.16138,330.46,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,296.72,4.48,N
40.39305,-79.84985,319.47,0.59,0.53,2026-08-29,0801,N20,nominal,2.0NRT,286.5,2.21,N
42.31773,-89.19751,307.09,0.38,0.36,2026-08-29,0801,N20,nominal,2.0NRT,284.87,0.97,N
18.43872,-93.16631,326.69,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,295.91,2.81,N
40.7565,-81.43174,297.69,0.48,0.48,2026-08-29,0801,N20,nominal,2.0NRT,284.28,0.32,N
18.38724,-92.87279,309.88,0.47,0.4,2026-08-29,0807,N20,nominal,2.0NRT,293.98,0.82,N
40.75695,-81.43287,298.38,0.48,0.48,2026-08-29,0801,N20,nominal,2.0NRT,285.74,0.84,N
18.42039,-93.18737,341.33,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,300.13,10.25,N
40.75399,-81.44012,306.9,0.48,0.48,2026-08-29,0801,N20,nominal,2.0NRT,286.57,1.47,N
18.42114,-93.1916,313.46,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,296.95,10.25,N
40.30397,-79.88092,299.05,0.59,0.53,2026-08-29,0801,N20,nominal,2.0NRT,286.49,0.95,N
18.41685,-93.18805,307.84,0.45,0.39,2026-08-29,0807,N20,nominal,2.0NRT,295.14,10.25,N
39.56165,-77.16965,300.93,0.42,0.61,2026-08-29,0801,N20,nominal,2.0NRT,288.61,1,N
18.49911,-94.00651,313.78,0.42,0.38,2026-08-29,0807,N20,nominal,2.0NRT,293.87,2.86,N
41.09428,-83.41747,299.68,0.57,0.43,2026-08-29,0801,N20,nominal,2.0NRT,288.49,1.27,N
18.17438,-92.26824,304.85,0.51,0.41,2026-08-29,0807,N20,nominal,2.0NRT,292.28,0.83,N
42.15725,-89.05214,304.86,0.39,0.36,2026-08-29,0801,N20,nominal,2.0NRT,288.11,0.5,N
18.33364,-93.41969,320.78,0.44,0.39,2026-08-29,0807,N20,nominal,2.0NRT,294.53,1.87,N
39.55855,-77.1744,297.48,0.42,0.61,2026-08-29,0801,N20,nominal,2.0NRT,287.46,0.64,N
18.20074,-92.73328,313.92,0.48,0.4,2026-08-29,0807,N20,nominal,2.0NRT,293.77,1.43,N
41.37341,-84.92252,301.45,0.49,0.4,2026-08-29,0801,N20,nominal,2.0NRT,289.36,1.08,N
18.27919,-93.46218,326.89,0.44,0.39,2026-08-29,0807,N20,nominal,2.0NRT,294.58,1.72,N
41.37226,-84.91682,301.54,0.49,0.4,2026-08-29,0801,N20,nominal,2.0NRT,288.13,1.08,N
18.10608,-92.77184,313.32,0.48,0.4,2026-08-29,0807,N20,nominal,2.0NRT,292.93,1.89,N
41.36864,-84.9181,312.64,0.49,0.4,2026-08-29,0801,N20,nominal,2.0NRT,288.04,1.97,N
